sample_id,drug,response
S0,Docetaxel,0
S1,Docetaxel,0
S2,Docetaxel,1
S3,Docetaxel,0
S4,Docetaxel,1
S5,Docetaxel,1
S6,Docetaxel,1
S7,Docetaxel,0
S8,Docetaxel,0
S9,Docetaxel,0
S10,Docetaxel,1
S11,Docetaxel,0
S12,Docetaxel,0
S13,Docetaxel,1
S14,Docetaxel,1
S15,Docetaxel,0
S16,Docetaxel,1
S17,Docetaxel,0
S18,Docetaxel,0
S19,Docetaxel,0
S20,Docetaxel,0
S21,Docetaxel,1
S22,Docetaxel,1
S23,Docetaxel,0
S24,Docetaxel,0
S25,Docetaxel,1
S26,Docetaxel,1
S27,Docetaxel,0
S28,Docetaxel,1
S29,Docetaxel,0
S30,Docetaxel,0
S31,Docetaxel,0
S32,Docetaxel,1
S33,Docetaxel,1
S34,Docetaxel,1
S35,Docetaxel,1
S36,Docetaxel,1
S37,Docetaxel,1
S38,Docetaxel,1
S39,Docetaxel,0
S40,Docetaxel,1
S41,Docetaxel,0
S42,Docetaxel,0
S43,Docetaxel,0
S44,Docetaxel,0
S45,Docetaxel,0
S46,Docetaxel,0
S47,Docetaxel,1
S48,Docetaxel,1
S49,Docetaxel,0
S50,Docetaxel,1
S51,Docetaxel,0
S52,Docetaxel,0
S53,Docetaxel,1
S54,Docetaxel,1
S55,Docetaxel,1
S56,Docetaxel,1
S57,Docetaxel,1
S58,Docetaxel,0
S59,Docetaxel,1
S60,Docetaxel,1
S61,Docetaxel,0
S62,Docetaxel,1
S63,Docetaxel,1
S64,Docetaxel,1
S65,Docetaxel,0
S66,Docetaxel,1
S67,Docetaxel,1
S68,Docetaxel,1
S69,Docetaxel,1
S70,Docetaxel,1
S71,Docetaxel,1
S72,Docetaxel,0
S73,Docetaxel,1
S74,Docetaxel,1
S75,Docetaxel,1
S76,Docetaxel,1
S77,Docetaxel,0
S78,Docetaxel,0
S79,Docetaxel,1
S80,Docetaxel,1
S81,Docetaxel,0
S82,Docetaxel,1
S83,Docetaxel,1
S84,Docetaxel,0
S85,Docetaxel,0
S86,Docetaxel,0
S87,Docetaxel,0
S88,Docetaxel,1
S89,Docetaxel,0
S90,Docetaxel,0
S91,Docetaxel,0
S92,Docetaxel,1
S93,Docetaxel,1
S94,Docetaxel,1
S95,Docetaxel,1
S96,Docetaxel,1
S97,Docetaxel,1
S98,Docetaxel,1
S99,Docetaxel,1
S100,Docetaxel,0
S101,Docetaxel,1
S102,Docetaxel,0
S103,Docetaxel,1
S104,Docetaxel,1
S105,Docetaxel,1
S106,Docetaxel,0
S107,Docetaxel,1
S108,Docetaxel,1
S109,Docetaxel,0
S110,Docetaxel,0
S111,Docetaxel,0
S112,Docetaxel,1
S113,Docetaxel,0
S114,Docetaxel,1
S115,Docetaxel,0
S116,Docetaxel,1
S117,Docetaxel,0
S118,Docetaxel,0
S119,Docetaxel,1
